Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Cyprus,CYP,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,12.25560117,10.84636319,4.77569251,4.756078559,17.27893918,3.433977293,18.05055112,20.31585216,22.18528292,1.869804046
Cyprus,CYP,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.32737281,20.19731089,12.08614031,12.44800985,34.82039507,14.99060342,34.53065158,30.45342468,31.19603066,5.670624523
Czech Republic,CZE,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,38.99438361,40.051064,40.08549132,42.17233852,45.03827875,47.10931074,48.00536245,47.74934283,47.77154654,14.06480783
Czech Republic,CZE,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,44.70139465,45.04590923,46.09393968,48.02714392,46.18679614,46.2234788,46.89887326,47.66626183,47.15525701,12.30221491
Denmark,DNK,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,30.81202325,26.4592628,27.87283607,28.97962949,28.04654809,27.47451399,31.20711368,36.08507358,32.50902709,12.53941905
Denmark,DNK,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.89089646,31.07940803,32.37666869,33.88742749,31.53520102,31.91136358,33.91082707,38.54825919,36.60659665,13.28038779
Djibouti,DJI,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,60.75690598,60.30870819,58.54514791,59.48844611,57.25095741,55.6305941,55.63733069,61.83079057,61.44330451,..
Djibouti,DJI,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.25248071,25.12515349,22.48213795,20.67728663,19.83815184,18.85603068,15.71418091,18.8817702,17.31755424,..
Dominica,DMA,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,24.22864286,26.75225188,27.35143248,32.62560731,31.54068807,5.670326896,6.69907331,12.4773042,12.75499986,..
Dominica,DMA,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.37581062,23.85643929,23.67862611,28.28893422,28.20946877,43.30073417,45.53230482,52.7823322,55.99669031,..
Dominican Republic,DOM,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,28.60094076,14.54762123,15.55635702,15.09120521,12.22726493,11.45214568,10.6513034,11.09493092,10.2124921,4.382761926
Dominican Republic,DOM,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.05061928,16.10821256,19.78268368,18.80891611,18.13699025,20.85662334,20.35286704,23.41227445,26.14756577,9.724878623
Ecuador,ECU,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,24.35138584,22.80383262,22.0386617,20.37407089,17.8454136,14.34069683,12.67423183,11.71637889,8.989259145,6.075517438
Ecuador,ECU,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.78501011,16.11921116,15.49491333,16.04735924,17.09288434,17.55149992,18.93050741,18.79728208,16.58446499,11.38233999
"Egypt, Arab Rep.",EGY,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,17.63631632,12.96299408,10.23950344,12.48874433,13.95778003,21.22789712,12.6989778,17.32617963,14.22399451,6.369386223
"Egypt, Arab Rep.",EGY,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.5040473,29.96324154,27.58216296,28.22241404,28.98760948,25.55328896,29.53267614,24.85248299,36.17508418,7.762918303
El Salvador,SLV,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,49.41091495,51.49259361,49.25805609,43.73407191,42.74111119,37.24812174,44.05109287,46.29313692,43.34581045,32.13037453
El Salvador,SLV,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.80815477,25.52402392,25.68401284,23.1919569,23.83217319,22.62636403,22.67356235,24.37101184,23.96225793,13.83837974
